seconds,utc_unixtimestamp,donation_id,donation_amount,cumulative_donation_amount
12876,1597590276,675116,25.00,22867.46
12938,1597590338,675117,50.00,22917.46
12951,1597590351,675118,25.00,22942.46
12951,1597590351,675119,85.00,23027.46
12964,1597590364,675120,250.00,23277.46
12973,1597590373,675121,10.00,23287.46
12976,1597590376,675122,5.00,23292.46
12978,1597590378,675123,25.00,23317.46
12987,1597590387,675124,5.00,23322.46
12999,1597590399,675125,50.00,23372.46
13038,1597590438,675126,10.00,23382.46
13046,1597590446,675127,10.00,23392.46
13075,1597590475,675128,10.00,23402.46
13080,1597590480,675130,50.00,23452.46
13088,1597590488,675131,5.00,23457.46
13097,1597590497,675132,10.00,23467.46
13129,1597590529,675133,10.00,23477.46
13159,1597590559,675134,50.00,23527.46
13217,1597590617,675137,5.05,23532.51
13221,1597590621,675138,50.00,23582.51
13287,1597590687,675140,25.00,23607.51
13290,1597590690,675141,10.00,23617.51
13309,1597590709,675142,5.00,23622.51
13327,1597590727,675144,75.00,23697.51
13362,1597590762,675145,5.00,23702.51
13363,1597590763,675146,10.00,23712.51
13392,1597590792,675148,50.00,23762.51
13396,1597590796,675149,10.00,23772.51
13483,1597590883,675151,50.00,23822.51
13495,1597590895,675152,25.00,23847.51
13527,1597590927,675153,50.00,23897.51
13584,1597590984,675156,10.00,23907.51
13608,1597591008,675157,10.00,23917.51
13621,1597591021,675158,10.00,23927.51
13622,1597591022,675159,10.00,23937.51
13628,1597591028,675160,6.00,23943.51
13645,1597591045,675161,10.00,23953.51
13654,1597591054,675162,100.00,24053.51
13654,1597591054,675163,50.00,24103.51
13668,1597591068,675164,10.00,24113.51
13677,1597591077,675165,10.00,24123.51
13687,1597591087,675166,5.00,24128.51
13758,1597591158,675167,5.01,24133.52
13771,1597591171,675168,5.00,24138.52
13775,1597591175,675169,5.00,24143.52
13782,1597591182,675170,10.00,24153.52
13855,1597591255,675171,5.00,24158.52
13860,1597591260,675172,10.00,24168.52
13880,1597591280,675173,50.00,24218.52
13921,1597591321,675174,20.00,24238.52
13927,1597591327,675175,10.00,24248.52
13949,1597591349,675176,5.00,24253.52
13949,1597591349,675177,5.00,24258.52
13949,1597591349,675178,50.00,24308.52
13968,1597591368,675179,50.00,24358.52
13978,1597591378,675180,25.00,24383.52
13999,1597591399,675181,50.00,24433.52
14014,1597591414,675182,5.00,24438.52
14068,1597591468,675183,50.00,24488.52
14074,1597591474,675185,5.00,24493.52
14080,1597591480,675186,30.00,24523.52
14085,1597591485,675187,5.00,24528.52
14085,1597591485,675188,10.00,24538.52
14092,1597591492,675189,5.00,24543.52
14095,1597591495,675190,10.00,24553.52
14109,1597591509,675191,500.00,25053.52
14173,1597591573,675193,100.00,25153.52
14179,1597591579,675194,10.00,25163.52
14215,1597591615,675195,5.00,25168.52
14275,1597591675,675197,5.00,25173.52
14300,1597591700,675198,50.00,25223.52
14308,1597591708,675199,5.00,25228.52
14350,1597591750,675200,25.00,25253.52
14361,1597591761,675201,5.00,25258.52
14364,1597591764,675202,15.00,25273.52
14380,1597591780,675203,5.00,25278.52
14412,1597591812,675204,10.00,25288.52
14439,1597591839,675205,5.00,25293.52
14484,1597591884,675206,20.00,25313.52
14493,1597591893,675207,5.00,25318.52
14550,1597591950,675209,10.00,25328.52
14556,1597591956,675210,5.00,25333.52
14561,1597591961,675211,100.00,25433.52
14580,1597591980,675212,10.00,25443.52
14625,1597592025,675213,25.00,25468.52
14644,1597592044,675214,5.00,25473.52
14712,1597592112,675215,15.00,25488.52
14717,1597592117,675216,50.00,25538.52
14742,1597592142,675218,15.00,25553.52
14764,1597592164,675219,25.00,25578.52
14804,1597592204,675221,25.00,25603.52
14907,1597592307,675223,20.00,25623.52
14961,1597592361,675224,100.00,25723.52
15019,1597592419,675225,100.00,25823.52
15068,1597592468,675226,25.00,25848.52
15076,1597592476,675227,10.00,25858.52
15114,1597592514,675228,100.00,25958.52
15363,1597592763,675230,20.00,25978.52
15374,1597592774,675231,5.00,25983.52
15428,1597592828,675232,20.00,26003.52
15492,1597592892,675234,25.00,26028.52
15652,1597593052,675235,50.00,26078.52
15661,1597593061,675236,50.00,26128.52
15685,1597593085,675237,30.00,26158.52
15930,1597593330,675239,5.00,26163.52
15958,1597593358,675240,25.00,26188.52
15965,1597593365,675241,50.00,26238.52
16313,1597593713,675243,25.00,26263.52
16376,1597593776,675244,5.00,26268.52
16396,1597593796,675245,5.00,26273.52
16456,1597593856,675246,5.00,26278.52
16483,1597593883,675247,25.00,26303.52
16579,1597593979,675248,5.00,26308.52
16644,1597594044,675249,10.00,26318.52
17005,1597594405,675252,30.00,26348.52
17112,1597594512,675254,5.00,26353.52
17116,1597594516,675255,5.00,26358.52
17145,1597594545,675256,25.00,26383.52
17181,1597594581,675257,10.00,26393.52
17223,1597594623,675258,25.00,26418.52
17228,1597594628,675260,10.00,26428.52
17233,1597594633,675261,25.00,26453.52
17336,1597594736,675262,10.00,26463.52
17377,1597594777,675263,250.00,26713.52
17435,1597594835,675264,20.00,26733.52
17515,1597594915,675265,100.00,26833.52
17516,1597594916,675266,25.00,26858.52
17528,1597594928,675270,25.00,26883.52
17530,1597594930,675271,100.00,26983.52
17533,1597594933,675272,33.00,27016.52
17533,1597594933,675273,5.00,27021.52
17540,1597594940,675274,5.00,27026.52
17551,1597594951,675275,25.00,27051.52
17565,1597594965,675276,1000.00,28051.52
17601,1597595001,675277,5.00,28056.52
17673,1597595073,675279,5.00,28061.52
17680,1597595080,675280,25.00,28086.52
17727,1597595127,675281,10.00,28096.52
17733,1597595133,675282,5.00,28101.52
17817,1597595217,675283,50.00,28151.52
17833,1597595233,675284,10.00,28161.52
17991,1597595391,675285,5.00,28166.52
18096,1597595496,675286,25.00,28191.52
18116,1597595516,675287,50.00,28241.52
18117,1597595517,675288,10.00,28251.52
18144,1597595544,675289,25.00,28276.52
18189,1597595589,675290,10.00,28286.52
18218,1597595618,675292,25.00,28311.52
18221,1597595621,675293,11.00,28322.52
18235,1597595635,675294,30.00,28352.52
18376,1597595776,675297,10.00,28362.52
18423,1597595823,675298,50.00,28412.52
18629,1597596029,675299,250.00,28662.52
18636,1597596036,675300,50.00,28712.52
18778,1597596178,675301,25.00,28737.52
18803,1597596203,675302,50.00,28787.52
18823,1597596223,675303,50.00,28837.52
18843,1597596243,675304,25.00,28862.52
18918,1597596318,675305,5.00,28867.52
19064,1597596464,675307,25.00,28892.52
19084,1597596484,675308,100.00,28992.52
19085,1597596485,675309,25.00,29017.52
19137,1597596537,675311,25.00,29042.52
19146,1597596546,675312,25.00,29067.52
19263,1597596663,675316,30.00,29097.52
19273,1597596673,675317,5.00,29102.52
